Suburb,Type,Bedroom2,Bathroom,Landsize,Price
Albion,t,2.0,1.0,100.0,340000.0
Albion,t,3.0,2.0,175.0,580000.0
Albion,u,1.0,1.0,1175.0,200000.0
Albion,u,1.0,1.0,2347.0,185000.0
Albion,u,2.0,1.0,0.0,190000.0
Albion,u,2.0,1.0,36.0,145000.0
Albion,u,2.0,1.0,192.0,420000.0
Albion,u,3.0,1.0,181.0,600000.0
Albion,u,3.0,1.0,199.0,463000.0
Albion,u,3.0,1.0,284.0,675000.0
Albion,u,3.0,2.0,247.0,600000.0
Albion,u,3.0,2.0,250.0,580000.0
Albion,u,3.0,2.0,420.0,560000.0
Alphington,h,1.0,1.0,60.0,330000.0
Alphington,h,3.0,0.0,597.0,1485000.0
Alphington,h,3.0,1.0,180.0,865000.0
Alphington,h,3.0,1.0,268.0,1170000.0
Alphington,h,3.0,1.0,592.0,1540000.0
Alphington,h,3.0,1.0,827.0,1650000.0
Alphington,h,3.0,1.0,979.0,1165000.0
Alphington,h,3.0,2.0,208.0,1110000.0
Alphington,h,3.0,2.0,300.0,1625000.0
Alphington,h,3.0,2.0,411.0,1492000.0
Alphington,h,3.0,2.0,853.0,2000000.0
Alphington,h,3.0,3.0,686.0,2000000.0
Alphington,h,4.0,1.0,605.0,1800000.0
Alphington,h,4.0,2.0,556.0,1900000.0
Alphington,h,4.0,2.0,575.0,2100000.0
Alphington,h,4.0,2.0,580.0,2220000.0
Alphington,h,4.0,2.0,589.0,1950000.0
Alphington,h,4.0,2.0,599.0,1717500.0
Alphington,h,4.0,2.0,600.0,1975000.0
Alphington,h,4.0,2.0,606.0,1830000.0
Alphington,h,4.0,2.0,803.0,2345000.0
Alphington,h,4.0,3.0,597.0,2750000.0
Alphington,h,4.0,3.0,720.0,1680000.0
Alphington,h,5.0,4.0,809.0,2840000.0
Alphington,t,0.0,1.0,0.0,650000.0
Alphington,t,2.0,2.0,155.0,805000.0
Alphington,t,3.0,2.0,528.0,1285000.0
Alphington,u,1.0,1.0,0.0,316000.0
Alphington,u,1.0,1.0,915.0,320000.0
Alphington,u,2.0,1.0,0.0,465000.0
Alphington,u,2.0,1.0,88.0,525500.0
Alphington,u,2.0,1.0,183.0,820000.0
Altona,h,2.0,1.0,154.0,535600.0
Altona,h,2.0,1.0,743.0,1030000.0
Altona,h,2.0,2.0,675.0,857000.0
Altona,h,3.0,1.0,363.0,712000.0
Altona,h,3.0,1.0,399.0,950000.0
Altona,h,3.0,1.0,506.0,1120000.0
Altona,h,3.0,1.0,530.0,683500.0
Altona,h,3.0,1.0,570.0,1020000.0
Altona,h,3.0,1.0,575.0,1005000.0
Altona,h,3.0,1.0,577.0,840000.0
Altona,h,3.0,1.0,600.0,853000.0
Altona,h,3.0,1.0,602.0,660000.0
Altona,h,3.0,1.0,604.0,740000.0
Altona,h,3.0,1.0,606.0,678000.0
Altona,h,3.0,1.0,625.0,635000.0
Altona,h,3.0,1.0,636.0,1005000.0
Altona,h,3.0,1.0,697.0,1062500.0
Altona,h,3.0,1.0,700.0,1165000.0
Altona,h,3.0,1.0,710.0,1248500.0
Altona,h,3.0,1.0,724.0,980000.0
Altona,h,3.0,1.0,725.0,1295000.0
Altona,h,3.0,1.0,777.0,1335000.0
Altona,h,3.0,1.0,798.0,1280000.0
Altona,h,3.0,1.0,929.0,1500000.0
Altona,h,3.0,2.0,352.0,520000.0
Altona,h,3.0,2.0,529.0,753000.0
Altona,h,3.0,2.0,530.0,913000.0
Altona,h,3.0,2.0,534.0,840000.0
Altona,h,3.0,2.0,584.0,920000.0
Altona,h,3.0,3.0,577.0,880000.0
Altona,h,4.0,1.0,499.0,890000.0
Altona,h,4.0,1.0,655.0,780000.0
Altona,h,4.0,1.0,745.0,845000.0
Altona,h,4.0,1.0,797.0,1030000.0
Altona,h,4.0,2.0,532.0,931000.0
Altona,h,4.0,2.0,615.0,1360000.0
Altona,h,4.0,2.0,629.0,935000.0
Altona,h,4.0,2.0,695.0,1070000.0
Altona,h,4.0,3.0,1057.0,1780000.0
Altona,h,5.0,3.0,725.0,1480000.0
Altona,h,5.0,3.0,729.0,1525000.0
Altona,t,2.0,1.0,178.0,597500.0
Altona,t,2.0,1.0,190.0,600000.0
Altona,t,2.0,1.0,292.0,720000.0
Altona,t,3.0,2.0,159.0,815000.0
Altona,t,3.0,2.0,197.0,705000.0
Altona,t,3.0,2.0,200.0,765000.0
Altona,t,3.0,2.0,211.0,743000.0
Altona,t,3.0,2.0,265.0,605100.0
Altona,t,3.0,2.0,280.0,800000.0
Altona,t,4.0,2.0,288.0,820000.0
Altona,u,2.0,1.0,0.0,415500.0
Altona,u,2.0,1.0,63.0,458000.0
Altona,u,2.0,1.0,65.0,406000.0
Altona,u,2.0,1.0,115.0,425000.0
Altona,u,2.0,1.0,127.0,510000.0
Altona,u,2.0,1.0,132.0,540000.0
Altona,u,2.0,1.0,137.0,447000.0
Altona,u,2.0,1.0,168.0,620000.0
Altona,u,2.0,1.0,225.0,580000.0
Altona,u,2.0,1.0,245.0,801250.0
Altona,u,2.0,1.0,311.0,630000.0
Altona,u,2.0,2.0,175.0,580000.0
Altona,u,3.0,1.0,181.0,605000.0
Altona,u,3.0,1.0,211.0,660000.0
Altona,u,3.0,2.0,69.0,730000.0
Altona,u,3.0,2.0,70.0,730000.0
Altona,u,3.0,2.0,205.0,577000.0
Altona,u,3.0,2.0,230.0,605000.0
Altona,u,3.0,2.0,284.0,670000.0
Altona,u,3.0,2.0,305.0,767000.0
Altona Meadows,h,3.0,1.0,459.0,590000.0
Altona Meadows,h,3.0,1.0,466.0,620000.0
Altona Meadows,h,3.0,2.0,530.0,820000.0
Altona Meadows,h,4.0,2.0,636.0,750000.0
Altona Meadows,h,4.0,2.0,749.0,810000.0
Altona Meadows,u,3.0,1.0,205.0,440500.0
Altona North,h,2.0,1.0,170.0,510000.0
Altona North,h,2.0,1.0,691.0,610000.0
Altona North,h,3.0,1.0,276.0,730000.0
Altona North,h,3.0,1.0,328.0,588000.0
Altona North,h,3.0,1.0,402.0,585000.0
Altona North,h,3.0,1.0,531.0,728500.0
Altona North,h,3.0,1.0,533.0,781000.0
Altona North,h,3.0,1.0,534.0,716500.0
Altona North,h,3.0,1.0,535.0,910000.0
Altona North,h,3.0,1.0,536.0,625000.0
Altona North,h,3.0,1.0,540.0,666500.0
Altona North,h,3.0,1.0,549.0,770000.0
Altona North,h,3.0,1.0,551.0,680000.0
Altona North,h,3.0,1.0,553.0,791000.0
Altona North,h,3.0,1.0,554.0,725000.0
Altona North,h,3.0,1.0,557.0,700000.0
Altona North,h,3.0,1.0,559.0,872500.0
Altona North,h,3.0,1.0,561.0,590000.0
Altona North,h,3.0,1.0,563.0,877500.0
Altona North,h,3.0,1.0,585.0,708000.0
Altona North,h,3.0,1.0,602.0,770000.0
Altona North,h,3.0,1.0,606.0,916000.0
Altona North,h,3.0,1.0,655.0,1405000.0
Altona North,h,3.0,1.0,667.0,990500.0
Altona North,h,3.0,1.0,672.0,900000.0
Altona North,h,3.0,1.0,693.0,1070000.0
Altona North,h,3.0,1.0,715.0,988000.0
Altona North,h,3.0,1.0,740.0,923000.0
Altona North,h,3.0,2.0,0.0,720000.0
Altona North,h,3.0,2.0,171.0,675000.0
Altona North,h,3.0,2.0,529.0,830000.0
Altona North,h,3.0,2.0,555.0,815000.0
Altona North,h,3.0,2.0,590.0,931000.0
Altona North,h,4.0,1.0,558.0,650000.0
Altona North,h,4.0,1.0,561.0,970000.0
Altona North,h,4.0,1.0,633.0,1200000.0
Altona North,h,4.0,1.0,668.0,760000.0
Altona North,h,4.0,1.0,708.0,970000.0
Altona North,h,4.0,1.0,851.0,965000.0
Altona North,h,4.0,2.0,315.0,693000.0
Altona North,h,4.0,2.0,562.0,805000.0
Altona North,h,4.0,3.0,533.0,1030000.0
Altona North,h,5.0,2.0,276.0,620000.0
Altona North,h,5.0,3.0,592.0,1085000.0
Altona North,h,5.0,3.0,1068.0,1500000.0
Altona North,t,2.0,1.0,77.0,421000.0
Altona North,t,2.0,1.0,252.0,640000.0
Altona North,t,4.0,3.0,252.0,847500.0
Altona North,u,2.0,1.0,153.0,292000.0
Altona North,u,3.0,1.0,180.0,451500.0
Ardeer,h,3.0,1.0,603.0,645000.0
Ardeer,h,3.0,1.0,697.0,627000.0
Ardeer,h,3.0,2.0,739.0,730000.0
Armadale,h,2.0,1.0,181.0,1460000.0
Armadale,h,2.0,1.0,212.0,1425000.0
Armadale,h,2.0,1.0,249.0,1210000.0
Armadale,h,2.0,1.0,369.0,1480000.0
Armadale,h,2.0,2.0,0.0,1780000.0
Armadale,h,2.0,2.0,144.0,1435000.0
Armadale,h,2.0,2.0,195.0,1705000.0
Armadale,h,2.0,2.0,207.0,1900000.0
Armadale,h,2.0,2.0,269.0,1726000.0
Armadale,h,2.0,2.0,311.0,1859000.0
Armadale,h,3.0,1.0,169.0,1125000.0
Armadale,h,3.0,1.0,186.0,1285000.0
Armadale,h,3.0,1.0,217.0,1870000.0
Armadale,h,3.0,1.0,230.0,1500000.0
Armadale,h,3.0,1.0,245.0,1450000.0
Armadale,h,3.0,1.0,256.0,2385000.0
Armadale,h,3.0,1.0,328.0,1900000.0
Armadale,h,3.0,2.0,205.0,2050000.0
Armadale,h,3.0,2.0,296.0,1939000.0
Armadale,h,3.0,2.0,316.0,2365000.0
Armadale,h,3.0,2.0,336.0,2360000.0
Armadale,h,3.0,2.0,348.0,1850000.0
Armadale,h,3.0,2.0,405.0,1800000.0
Armadale,h,3.0,2.0,617.0,3512500.0
Armadale,h,3.0,3.0,301.0,2250000.0
Armadale,h,4.0,1.0,495.0,2200000.0
Armadale,h,4.0,1.0,709.0,3625000.0
Armadale,h,4.0,2.0,574.0,4060000.0
Armadale,h,4.0,2.0,624.0,2801000.0
Armadale,h,4.0,2.0,761.0,5100000.0
Armadale,h,4.0,2.0,1581.0,3000000.0
Armadale,h,4.0,3.0,421.0,3660000.0
Armadale,h,4.0,3.0,474.0,3000000.0
Armadale,h,4.0,3.0,544.0,2000000.0
Armadale,h,4.0,3.0,563.0,4200000.0
Armadale,h,4.0,4.0,847.0,3200000.0
Armadale,h,5.0,2.0,617.0,2810000.0
Armadale,h,5.0,3.0,761.0,5200000.0
Armadale,h,5.0,3.0,1491.0,5525000.0
Armadale,h,8.0,2.0,693.0,1525000.0
Armadale,t,2.0,2.0,189.0,1200000.0
Armadale,t,2.0,2.0,246.0,1586000.0
Armadale,t,3.0,1.0,103.0,1101000.0
Armadale,t,3.0,2.0,0.0,1461500.0
Armadale,t,3.0,2.0,101.0,1205000.0
Armadale,t,3.0,3.0,1889.0,1715000.0
Armadale,u,1.0,1.0,0.0,405000.0
Armadale,u,1.0,1.0,881.0,390000.0
Armadale,u,2.0,0.0,0.0,546000.0
Armadale,u,2.0,1.0,0.0,631500.0
Armadale,u,2.0,1.0,861.0,550000.0
Armadale,u,2.0,1.0,869.0,852000.0
Armadale,u,2.0,1.0,903.0,590000.0
Armadale,u,2.0,1.0,1097.0,410000.0
Armadale,u,2.0,1.0,1194.0,872000.0
Armadale,u,2.0,1.0,1501.0,820000.0
Armadale,u,2.0,1.0,2471.0,710000.0
Armadale,u,2.0,2.0,3093.0,821000.0
Armadale,u,3.0,1.0,0.0,620000.0
Armadale,u,3.0,2.0,0.0,995000.0
Armadale,u,3.0,2.0,395.0,2120000.0
Armadale,u,3.0,2.0,1803.0,1635000.0
Armadale,u,3.0,2.0,2113.0,735000.0
Ascot Vale,h,2.0,1.0,0.0,636500.0
Ascot Vale,h,2.0,1.0,118.0,751000.0
Ascot Vale,h,2.0,1.0,124.0,760000.0
Ascot Vale,h,2.0,1.0,170.0,965000.0
Ascot Vale,h,2.0,1.0,173.0,950000.0
Ascot Vale,h,2.0,1.0,194.0,970000.0
Ascot Vale,h,2.0,1.0,202.0,1005000.0
Ascot Vale,h,2.0,1.0,214.0,710000.0
Ascot Vale,h,2.0,1.0,222.0,1130000.0
Ascot Vale,h,2.0,1.0,226.0,770000.0
Ascot Vale,h,2.0,1.0,252.0,705000.0
Ascot Vale,h,2.0,1.0,255.0,955000.0
Ascot Vale,h,2.0,1.0,269.0,1053000.0
Ascot Vale,h,2.0,1.0,278.0,1305000.0
Ascot Vale,h,2.0,1.0,319.0,1035000.0
Ascot Vale,h,2.0,1.0,325.0,1010000.0
Ascot Vale,h,2.0,1.0,330.0,940000.0
Ascot Vale,h,2.0,1.0,341.0,1050000.0
Ascot Vale,h,2.0,1.0,387.0,1150000.0
Ascot Vale,h,2.0,1.0,407.0,925000.0
Ascot Vale,h,2.0,2.0,234.0,920000.0
Ascot Vale,h,3.0,1.0,196.0,990000.0
Ascot Vale,h,3.0,1.0,199.0,1306000.0
Ascot Vale,h,3.0,1.0,216.0,965000.0
Ascot Vale,h,3.0,1.0,217.0,865000.0
Ascot Vale,h,3.0,1.0,242.0,890000.0
Ascot Vale,h,3.0,1.0,245.0,985000.0
Ascot Vale,h,3.0,1.0,263.0,955000.0
Ascot Vale,h,3.0,1.0,296.0,1135000.0
Ascot Vale,h,3.0,1.0,298.0,940000.0
Ascot Vale,h,3.0,1.0,317.0,910000.0
Ascot Vale,h,3.0,1.0,327.0,1250000.0
Ascot Vale,h,3.0,1.0,350.0,970000.0
Ascot Vale,h,3.0,1.0,414.0,1291000.0
Ascot Vale,h,3.0,1.0,417.0,1377000.0
Ascot Vale,h,3.0,1.0,431.0,801000.0
Ascot Vale,h,3.0,1.0,450.0,1435000.0
Ascot Vale,h,3.0,1.0,452.0,1215000.0
Ascot Vale,h,3.0,1.0,483.0,1375000.0
Ascot Vale,h,3.0,1.0,487.0,1440000.0
Ascot Vale,h,3.0,1.0,504.0,1230000.0
Ascot Vale,h,3.0,1.0,506.0,1037500.0
Ascot Vale,h,3.0,1.0,523.0,1310000.0
Ascot Vale,h,3.0,1.0,536.0,1050000.0
Ascot Vale,h,3.0,1.0,538.0,1230000.0
Ascot Vale,h,3.0,1.0,555.0,1060000.0
Ascot Vale,h,3.0,1.0,575.0,1350000.0
Ascot Vale,h,3.0,1.0,623.0,1284000.0
Ascot Vale,h,3.0,2.0,150.0,1010000.0
Ascot Vale,h,3.0,2.0,209.0,1041000.0
Ascot Vale,h,3.0,2.0,229.0,960000.0
Ascot Vale,h,3.0,2.0,239.0,1100000.0
Ascot Vale,h,3.0,2.0,254.0,1007250.0
Ascot Vale,h,3.0,2.0,257.0,1530000.0
Ascot Vale,h,3.0,2.0,272.0,1130000.0
Ascot Vale,h,3.0,2.0,277.0,1380000.0
Ascot Vale,h,3.0,2.0,285.0,955500.0
Ascot Vale,h,3.0,2.0,308.0,1255000.0
Ascot Vale,h,3.0,2.0,314.0,995000.0
Ascot Vale,h,3.0,2.0,388.0,870000.0
Ascot Vale,h,3.0,2.0,416.0,1381500.0
Ascot Vale,h,3.0,2.0,440.0,1000000.0
Ascot Vale,h,3.0,2.0,459.0,1410000.0
Ascot Vale,h,3.0,2.0,495.0,1425000.0
Ascot Vale,h,3.0,2.0,532.0,1435000.0
Ascot Vale,h,3.0,2.0,542.0,1490000.0
Ascot Vale,h,3.0,2.0,566.0,1370000.0
Ascot Vale,h,3.0,2.0,576.0,786000.0
Ascot Vale,h,3.0,2.0,617.0,1180000.0
